Date,btc_usd,eur_brl,usd_brl
2003-12-01,,,
2003-12-02,,-0.013575555570858988,0.0027368788015547096
2003-12-03,,0.01897449086733527,0.0
2003-12-04,,-0.0058047002423582406,0.004094194454714151
2003-12-05,,0.005694080793966938,-0.0030581252814663173
2003-12-08,,0.008076109209333993,0.002045004066280054
2003-12-09,,0.005302918712484006,-0.002380941954484128
2003-12-10,,-0.00326136014418299,0.0030684705948531565
2003-12-11,,-0.005149952504192146,-0.002039362244058651
2003-12-12,,0.008151031026531808,-0.000340655961272196
2003-12-15,,-0.005276591922500629,-0.005451459194842134
2003-12-16,,0.0047056798070674866,0.005823980433830256
2003-12-17,,0.006784124702881922,-0.002043610946693031
2003-12-18,,0.0029322367028432605,0.0006825443672147102
2003-12-19,,0.00011246665377129261,-0.003069517313767367
2003-12-22,,-0.0003372950026457877,-0.0013685209671718823
2003-12-23,,-0.003402311635817279,-0.004110944115549242
2003-12-24,,,0.0
2003-12-25,,,0.0
2003-12-26,,,-0.002063997876786794
2003-12-29,,0.00132605742871994,-0.014133101505990231
2003-12-30,,-0.008847552850626883,0.014335709544137876
2003-12-31,,0.0,0.0
2004-01-01,,,0.0
2004-01-02,,0.01196837388717431,-0.008617750834259752
2004-01-05,,0.0010394184668340856,-0.007997219223567664
2004-01-06,,-0.005837153702101805,0.004556611210319694
2004-01-07,,0.0073675151885344015,-0.002791310948662251
2004-01-08,,-0.013170109217446324,-0.0013995620873087367
2004-01-09,,0.008745805993874534,-0.008409308716462727
2004-01-12,,-0.00022516378064418863,-0.014134262519924223
2004-01-13,,-0.023791443997446482,0.0053763817595939845
2004-01-14,,0.005768337762767084,0.004634585074759334
2004-01-15,,-0.003412465028079237,-0.0017743485813206394
2004-01-16,,-0.010761662721379905,0.00497687136338576
2004-01-19,,-0.004159547304994238,0.00389110604212739
2004-01-20,,0.013173260376894369,0.0
2004-01-21,,0.008821769409975255,0.0017617603658102166
2004-01-22,,0.00954478287577798,-0.005276069935894467
2004-01-23,,0.0008774926575283448,0.004243226737412176
2004-01-26,,-0.011765368281792199,0.0014085165637534036
2004-01-27,,-0.004579025947313409,0.008438793451134963
2004-01-28,,0.021706633413368426,0.009065558790629202
2004-01-29,,0.0029265433002412244,0.012439534446128997
2004-01-30,,0.0008978575641491737,0.0006825443672147102
2004-02-02,,0.007484657648157977,0.0030695986297923916
2004-02-03,,-0.006037880691074249,-0.00850054250157739
2004-02-04,,0.0,0.0006859031330457288
2004-02-05,,0.009041792629026268,0.004112434542129728
2004-02-06,,0.005659448363188879,0.0006825443672147102
2004-02-09,,0.005434496649380449,-0.002728477904687887
2004-02-10,,0.001371820987533301,-0.002051997917506543
2004-02-11,,-0.006740288102568437,-0.0044551101852532415
2004-02-12,,0.006151555982000456,-0.003442337542768681
2004-02-13,,0.0,0.0031088300524355628
2004-02-16,,-0.007046075172777333,0.0006886553069191947
2004-02-17,,0.010492273762219284,0.003441153066456204
2004-02-18,,0.0036342270506881658,0.008230510547732939
2004-02-19,,-0.0018785929526377032,0.005782299188711759
2004-02-20,,-0.0006546251877348475,0.0
