asset,asset_type,start_date,end_date,rows,start_close,end_close,total_return,annualized_return,annualized_volatility
btc_usd,currency,2014-09-17,2026-04-19,4233,457.3340148925781,74735.75,162.41611943636966,0.5519990627220122,0.5563833964448045
eur_brl,currency,2003-12-01,2026-04-17,5787,3.462100028991699,5.856599807739258,0.6916321766257376,0.023754845990805906,0.1666137836068728
usd_brl,currency,2003-12-01,2026-04-19,5389,2.9230000972747803,4.98960018157959,0.7070133477694975,0.02416277770212316,0.1876839950374513
ABEV3.SA,equity,2000-01-05,2026-04-17,6598,0.227543756365776,15.329999923706056,66.37165707620261,0.17361991514880604,0.287317554669052
B3SA3.SA,equity,2007-10-26,2026-04-17,4583,18.95197296142578,19.43000030517578,0.025223091269862108,0.0013483054814240614,0.4568055013503111
BBAS3.SA,equity,2000-01-03,2026-04-17,6600,0.4373170137405395,24.399999618530277,54.794764099909486,0.16519878106331087,0.41245483784818976
BBDC4.SA,equity,2008-01-02,2026-04-17,4544,9.987760543823242,21.26000022888184,1.1286053200414101,0.04214309271162797,0.3666293867516448
CSAN3.SA,equity,2005-11-18,2026-04-17,5077,2.668700218200684,5.25,0.9672498110483552,0.03368327122467818,0.42076084351325166
EGIE3.SA,equity,2002-03-01,2026-04-17,6036,0.8044752478599548,37.5099983215332,45.6266655454178,0.1724877407877392,0.3303596805704754
EQTL3.SA,equity,2008-04-07,2026-04-17,4480,8.281755447387695,45.18999862670898,4.4565724517938055,0.09863376526550716,0.35197669900370926
GGBR4.SA,equity,2000-01-03,2026-04-17,6600,210.65802001953125,21.540000915527344,-0.8977489633979744,-0.08303942547121457,0.8473863033722753
HAPV3.SA,equity,2018-04-26,2026-04-17,1982,81.53695678710938,12.229999542236328,-0.8500066715248092,-0.2115729730872109,0.5582740278836075
ITSA4.SA,equity,2000-01-03,2026-04-17,6600,0.2945415377616882,14.8100004196167,49.28153425205304,0.1605991070129842,0.3917500221241845
ITUB4.SA,equity,2000-12-21,2026-04-17,6347,1.1429415941238403,46.79999923706055,39.94697356161636,0.15779363892265397,0.3410673734266623
LREN3.SA,equity,2000-01-04,2026-04-17,6599,5206.41259765625,15.43000030517578,-0.997036347001749,-0.19854938013664702,0.5062474849868422
MGLU3.SA,equity,2011-05-02,2026-04-17,3720,4.094326496124268,9.289999961853027,1.2689934402268697,0.05625790701627453,0.6302237150981834
PETR3.SA,equity,2000-01-03,2026-04-17,6600,1.1109929084777832,50.810001373291016,44.733866513070616,0.15642388888104786,0.4212514728617336
PETR4.SA,equity,2000-01-03,2026-04-17,6600,1.1209908723831177,46.220001220703125,40.23138052180915,0.15187648757745276,0.41101371100908946
PRIO3.SA,equity,2010-10-25,2026-04-17,3846,23.30257225036621,61.65999984741211,1.646059807686814,0.06484451331459162,0.6997892374924491
RADL3.SA,equity,2000-01-06,2026-04-17,6597,0.0045337080955505,23.13999938964844,5102.989692754733,0.3835893059082882,0.8186303622761518
RAIL3.SA,equity,2015-04-02,2026-04-17,2748,16.334897994995117,16.549999237060547,0.013168202343922575,0.0011846890825213396,0.45296421204481885
RDOR3.SA,equity,2020-12-15,2026-04-17,1329,55.58137512207031,40.02999877929688,-0.27979473895021123,-0.05961638895499555,0.3641786602569376
RENT3.SA,equity,2005-05-23,2026-04-17,5201,0.7466587424278259,51.13999938964844,67.49179750224617,0.22395744554693775,0.4248152407725592
SUZB3.SA,equity,2004-08-05,2026-04-17,5402,6.073596954345703,47.93000030517578,6.891534566000715,0.09981685283502983,4.116277197240026
VALE3.SA,equity,2000-01-03,2026-04-17,6600,1.287471055984497,89.75,68.71030500671753,0.1751042250112762,0.39111628486546235
VIVT3.SA,equity,2000-01-03,2026-04-17,6600,3.115952014923096,40.68999862670898,12.058608871970462,0.1026124997362472,0.30408586727596154
WEGE3.SA,equity,2000-01-03,2026-04-17,6600,0.1112879514694213,48.650001525878906,436.15425509693665,0.2600526006943795,0.33068069062459526
ibovespa,equity,2000-01-03,2026-04-17,6514,16930.0,195734.0,10.561370348493798,0.09751961392031605,0.2692628862909559
