Date,ibovespa,ifix,ABEV3.SA,B3SA3.SA,BBAS3.SA,BBDC4.SA,CSAN3.SA,EGIE3.SA,EQTL3.SA,GGBR4.SA,HAPV3.SA,ITSA4.SA,ITUB4.SA,LREN3.SA,MGLU3.SA,PETR3.SA,PETR4.SA,PRIO3.SA,RADL3.SA,RAIL3.SA,RDOR3.SA,RENT3.SA,SUZB3.SA,VALE3.SA,VIVT3.SA,WEGE3.SA
2000-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-04,-0.06373301831069111,,,,-0.04756055708070983,,,,,-0.023092952149274315,,-0.095477323378097,,,,-0.05612271832392601,-0.05531855884685288,,,,,,,-0.023809616401344602,-0.027083191460872014,-0.03509255252257193
2000-01-05,0.024856475932117927,,,,0.010243900554263385,,,,,0.03419169903765695,,0.08333267148085133,,0.0,,0.013513799249213143,-0.01009043648114305,,,,,,,0.0,0.011135488580561903,0.0
2000-01-06,-0.008494921514312082,,-0.050691009150304,,0.013941235876583136,,,,,0.03061218271367605,,0.01538435803476701,,0.0,,-0.00799998743762842,-0.003458375148187809,,,,,,,0.0,0.022024076751411936,-0.09090968382278253
2000-01-07,0.012541131185199061,,0.0,,-0.022500019558492235,,,,,0.045544733672125526,,-0.005049269324397199,,0.0,,0.00806450336322495,0.004566081343893247,,0.0,,,,,0.036585606449204056,0.00497380336216513,0.0
2000-01-10,0.043718192409099244,,0.0,,0.054987161925524664,,,,,0.03219673216212726,,0.035532433551209275,,0.0,,0.02933347421135779,0.02054575503102396,,0.0,,,,,0.0823526096144962,0.061854691122215755,0.0
2000-01-11,-0.02637762895076956,,0.0,,-0.013333236698006123,,,,,-0.014679120255775557,,-0.004902435909254654,,0.0,,-0.03367906220711547,-0.02458594523406521,,0.0,,,,,0.002174124761976648,0.02135931857280493,0.0
2000-01-12,0.0026549206540757986,,-0.02666475167425597,,0.013513414248783384,,,,,0.014897806955624482,,-0.019703873058697363,,0.0,,-0.03485208497148673,0.0014609771441458363,,0.0,,,,,0.009761451142340949,0.0646389449536866,0.02000221944139069
2000-01-13,0.040982126737678204,,0.006848597108140231,,-0.01696979565760126,,,,,-0.11926567656765674,,-0.020101032320183565,,0.0,,0.0,-0.02881627818046162,,0.0,,,,,0.03329763048782963,0.05392851256632003,0.01961109876910272
2000-01-14,0.020811654526534884,,0.020406883287029665,,-0.0012329052651525174,,,,,0.1249998536231205,,0.005128497956324196,,0.0,,0.008333084080003106,0.014084698730679523,,0.0,,,,,0.018710812805605714,0.006438189152578433,0.05768731885108269
