Price,Close,High,Low,Open,Volume
Ticker,VALE3.SA,VALE3.SA,VALE3.SA,VALE3.SA,VALE3.SA
Date,,,,,
2000-01-03,1.287471055984497,1.3031046401090407,1.287471055984497,1.287471055984497,585600
2000-01-04,1.2568168640136719,1.2779681340518552,1.2568168640136719,1.2752092918081819,782400
2000-01-05,1.2568168640136719,1.2568168640136719,1.2414900601066143,1.2414900601066143,1876800
2000-01-06,1.2568168640136719,1.2874711734438964,1.2568168640136719,1.2568168640136719,792000
2000-01-07,1.3027982711791992,1.3092356004336254,1.2721443056434487,1.2721443056434487,5347200
2000-01-10,1.4100871086120605,1.4100871086120605,1.3794331554274482,1.3794331554274482,2980800
2000-01-11,1.413152813911438,1.4192837993703085,1.400891281503822,1.4100875404370652,326400
2000-01-12,1.4269472360610962,1.4407416256350436,1.4131529341891813,1.4162185587325786,5068800
2000-01-13,1.4744611978530884,1.4744611978530884,1.4744611978530884,1.4744611978530884,120000
2000-01-14,1.5020495653152466,1.5020495653152466,1.4778329348197112,1.4778329348197112,3484800
2000-01-17,1.5327036380767822,1.532703638076782,1.5020496775738308,1.5020496775738308,230400
2000-01-18,1.486722707748413,1.5173770228910186,1.4805921604471999,1.5173770228910186,3724800
2000-01-19,1.4805923700332642,1.4900950617332203,1.4713961092695127,1.4867229182022903,1872000
2000-01-20,1.471395492553711,1.471395492553711,1.471395492553711,1.471395492553711,748800
2000-01-21,1.4407416582107544,1.4713959748931196,1.4407416582107544,1.4713959748931196,144000
2000-01-24,1.471395492553711,1.4867222950624637,1.4407411859201602,1.4407411859201602,705600
2000-01-25,1.471395492553711,1.471395492553711,1.471395492553711,1.471395492553711,0
2000-01-26,1.4591338634490967,1.4591338634490967,1.4591338634490967,1.4591338634490967,196800
2000-01-27,1.471395492553711,1.4867222950624637,1.471395492553711,1.4867222950624637,686400
2000-01-28,1.471395492553711,1.471395492553711,1.471395492553711,1.471395492553711,211200
2000-01-31,1.471395492553711,1.471395492553711,1.471395492553711,1.471395492553711,0
2000-02-01,1.4407416582107544,1.4407416582107544,1.4407416582107544,1.4407416582107544,148800
2000-02-02,1.379433512687683,1.4530033175714303,1.379433512687683,1.4530033175714303,739200
2000-02-03,1.379433512687683,1.4100874738113816,1.3641063567217921,1.3641063567217921,4382400
2000-02-04,1.4315451383590698,1.4315451383590698,1.379433475996503,1.379433475996503,345600
2000-02-07,1.5020495653152466,1.5020495653152466,1.4407412980832601,1.4407412980832601,81600
2000-02-08,1.5894137620925903,1.58941376209259,1.5020495770752238,1.5020495770752238,1036800
