Price,Close,High,Low,Open,Volume
Ticker,GGBR4.SA,GGBR4.SA,GGBR4.SA,GGBR4.SA,GGBR4.SA
Date,,,,,
2000-01-03,210.65802001953125,213.26409861771103,208.48628785438143,208.92063428741142,1210000
2000-01-04,205.79330444335938,208.48625723472088,204.14279354233085,208.48625723472088,8990000
2000-01-05,212.82972717285156,212.87316446209005,199.79933571328922,204.14279953314335,9920000
2000-01-06,219.34490966796875,222.38533415841584,210.65798255240563,210.65798255240563,12310000
2000-01-07,229.3349151611328,233.678379463427,217.1732151147091,221.51667941700327,24570000
2000-01-10,236.71875,238.89048165137615,228.46616972477062,238.84705762250707,11570000
2000-01-11,233.24392700195312,236.7186968641796,230.63784960528324,234.54696570028804,4410000
2000-01-12,236.71875,236.71875,231.94094036697246,234.54701834862385,4530000
2000-01-13,208.486328125,247.5775146484375,208.486328125,238.89058430989581,3280000
2000-01-14,234.54708862304688,238.89055322717735,225.86015941478587,230.20362401891637,5290000
2000-01-17,235.41580200195312,238.8905739872218,234.50368495998265,234.54710900563597,2970000
2000-01-18,251.9208526611328,252.78954525651605,235.4591173744632,235.4591173744632,7390000
2000-01-19,241.93087768554688,251.920842114214,241.06218512653237,251.05214955519946,3340000
2000-01-20,236.71875,243.23394495412842,230.20355504587155,243.23394495412842,2750000
2000-01-21,236.71875,238.4561353211009,225.86009174311926,238.4561353211009,5460000
2000-01-24,232.4187469482422,236.7187868922804,232.37532291260553,236.7187868922804,1710000
2000-01-25,232.4187469482422,232.4187469482422,232.4187469482422,232.4187469482422,0
2000-01-26,225.8166961669922,230.20358405135826,223.68838827631984,230.20358405135826,5370000
2000-01-27,228.03182983398438,230.203561546689,225.86009812127978,230.203561546689,7850000
2000-01-28,226.72889709472656,228.90062982551896,225.90362805286173,228.031936733202,1750000
2000-01-31,217.17320251464844,221.5166665649414,217.17320251464844,217.17320251464844,4140000
2000-02-01,214.13279724121094,221.5166868012527,212.8297579070859,219.344954577711,12710000
2000-02-02,217.17320251464844,217.17320251464844,215.00147048950197,215.00147048950197,8200000
2000-02-03,222.3853302001953,223.68836924433708,219.77925211191177,221.5166375041008,10580000
2000-02-04,217.17320251464844,225.86013061523437,217.17320251464844,223.6883985900879,3170000
2000-02-07,227.59751892089844,227.59751892089844,223.68840122950897,225.8601332802809,3580000
2000-02-08,234.54708862304688,234.54708862304688,226.29450587519892,226.29450587519892,8250000
2000-02-09,234.54708862304688,238.45620676676432,232.3753563209816,234.54708862304688,10420000
2000-02-10,232.37533569335938,234.5470678026431,230.20360358407564,234.5470678026431,6620000
2000-02-11,225.4257049560547,231.94089874091176,225.4257049560547,231.94089874091176,2460000
2000-02-14,219.34490966796875,221.51664144685952,218.0418706006343,218.0418706006343,2580000
2000-02-15,221.5165557861328,221.95090197394876,218.04178628360523,218.04178628360523,2430000
2000-02-16,225.8599853515625,225.8599853515625,221.4730868311957,221.51652409480167,7320000
2000-02-17,225.4257049560547,227.1630899653499,223.25397369443567,223.68831994675946,4240000
2000-02-18,224.33995056152344,224.55712379536808,224.33995056152344,224.33995056152344,2850000
2000-02-21,226.2944793701172,228.03186500827547,224.51366969516533,224.5570937319589,7010000
2000-02-22,224.55711364746094,228.03188523194777,222.38538140715667,228.03188523194777,10670000
2000-02-23,224.55711364746094,226.7288458877652,223.68842075133924,224.9914600955218,14210000
2000-02-24,219.34490966796875,225.8601050046411,219.34490966796875,224.55706593730662,10630000
2000-02-25,218.47616577148438,219.3882955559631,218.47616577148438,219.3448582795221,52280000
2000-02-28,212.82972717285156,234.54704627212215,212.39538079086617,234.54704627212215,7830000
2000-02-29,213.3508758544922,217.1731174189883,212.82965507060854,217.1731174189883,2280000
2000-03-01,211.96107482910156,213.6984606883565,210.65803543466038,213.6984606883565,3460000
2000-03-02,211.74388122558594,212.82974728315304,211.5267080140725,212.82974728315304,5350000
2000-03-03,210.65802001953125,212.82975218468107,210.0065003699863,212.82975218468107,9520000
2000-03-06,210.65802001953125,210.65802001953125,210.65802001953125,210.65802001953125,0
2000-03-07,210.65802001953125,210.65802001953125,210.65802001953125,210.65802001953125,0
2000-03-08,210.65802001953125,210.65802001953125,208.48628785438143,210.65802001953125,6150000
2000-03-09,210.4408416748047,211.74388094214095,207.61758992890947,210.6580148860274,6630000
2000-03-10,210.65802001953125,211.0923664525612,208.48628785438143,210.614582725188,9870000
2000-03-13,210.65802001953125,210.65802001953125,210.65802001953125,210.65802001953125,0
2000-03-14,204.05587768554688,208.44277777842316,201.9710208370495,208.44277777842316,4440000
2000-03-15,198.93075561523438,200.23379549917698,197.6277157312918,200.23379549917698,10550000
2000-03-16,204.14283752441406,205.01153045004986,203.27414459877824,203.31758189610045,2770000
2000-03-17,197.6275634765625,199.8861695040877,197.19321718320742,199.7992949433379,12420000
2000-03-20,197.6275634765625,201.97102641011332,196.32452459649724,199.7992949433379,2490000
2000-03-21,195.45591735839844,197.62764977349175,191.1124525282118,197.62764977349175,15800000
2000-03-22,198.0619354248047,198.0619354248047,195.4558573271099,197.6275890751889,6490000
2000-03-23,204.09933471679688,205.01146464698616,199.7993087661306,199.7993087661306,15110000
2000-03-24,205.01138305664062,208.48615226099048,201.97096000283452,208.48615226099048,3980000
2000-03-27,204.14283752441406,208.2256916238619,203.70849106159613,206.31456983850356,4910000
2000-03-28,199.32150268554688,204.18618626125752,197.62755486630354,204.18618626125752,5580000
2000-03-29,200.66799926757812,208.44279572236033,198.93061399253415,208.44279572236033,4470000
2000-03-30,199.79930114746094,199.79930114746094,197.62756961324942,199.79930114746094,4420000
2000-03-31,197.6275634765625,201.97102641011332,195.93361558351705,201.97102641011332,2170000
2000-04-03,188.94064331054688,197.62756943976743,188.07195069762483,196.1073573671538,6720000
2000-04-04,191.06903076171875,194.58724021122134,186.7690028813062,194.58724021122134,2570000
2000-04-05,191.11233520507812,196.10731669339268,191.11233520507812,195.4557973688299,5370000
2000-04-06,194.5871124267578,197.6275360584259,191.1123425619943,193.2840737274715,2170000
2000-04-07,195.45591735839844,200.19029137226133,195.45591735839844,197.62764977349175,6790000
2000-04-10,193.28414916992188,199.79934520935743,191.54676355940572,199.79934520935743,2400000
2000-04-11,191.5467071533203,195.45582362583704,191.11236087859623,192.41539970276847,740000
2000-04-12,191.11233520507812,193.28406628695402,190.24364277232777,191.7638545296409,3470000
2000-04-13,182.42547607421875,191.1124035063244,182.42547607421875,187.63763253348213,1780000
2000-04-14,172.43553161621094,181.55680658835308,171.56683876172121,180.2537673066185,4110000
2000-04-17,169.39505004882812,174.6072054349459,159.8394318409455,172.4354740240635,7360000
2000-04-18,177.2133026123047,180.25372692182953,173.73853197284774,173.73853197284774,7340000
2000-04-19,173.8688201904297,182.425447681373,169.3950585612749,178.7335040973452,4130000
2000-04-20,184.5972442626953,184.5972442626953,176.12748834946575,176.12748834946575,410000
2000-04-21,184.5972442626953,184.5972442626953,184.5972442626953,184.5972442626953,0
2000-04-24,182.42547607421875,182.42547607421875,178.0820123581659,182.42547607421875,3750000
2000-04-25,188.07199096679688,196.06396206584705,182.42548777379835,196.06396206584705,2520000
2000-04-26,188.02859497070312,189.8094182506399,186.76899278667085,189.3750717557872,5060000
2000-04-27,191.11233520507812,191.11233520507812,187.20321925770153,188.02847441777544,6110000
2000-04-28,189.375,192.41542431192659,187.20326834862385,191.15582260516805,2480000
2000-05-01,189.375,189.375,189.375,189.375,0
2000-05-02,880.9495239257812,880.9495239257812,834.9869045678995,850.3077953607939,439311
2000-05-03,850.3075561523438,880.949276097205,850.3075561523438,880.949276097205,312530
2000-05-04,857.9681396484375,865.6285846155267,857.9681396484375,857.9681396484375,602947
2000-05-05,873.2889404296875,880.9493846147319,857.9680520595986,857.9680520595986,676657
2000-05-08,857.9681396484375,873.2890295826159,857.9681396484375,873.2890295826159,250614
2000-05-09,827.326416015625,865.6285325036401,796.6846910127357,857.968087997719,306633
2000-05-10,796.6846923828125,819.6659729193021,789.0242478637175,819.6659729193021,511547
2000-05-11,804.3453369140625,804.3453369140625,789.0244960769998,789.0244960769998,1376902
2000-05-12,781.3638916015625,842.6473486348463,773.7034462172018,842.6473486348463,529237
2000-05-15,781.3638916015625,789.0243369859234,781.3638916015625,789.0243369859234,4798521
2000-05-16,789.024169921875,804.345004425838,781.3637261594985,789.024169921875,2902699
2000-05-17,773.7034912109375,789.0243828706259,766.0430984018977,789.0243828706259,215233
2000-05-18,727.74072265625,766.0428882784904,720.0802789276439,766.0428882784904,1903192
2000-05-19,704.759521484375,720.0803575945589,697.0990769188852,720.0803575945589,458476
2000-05-22,689.4385986328125,712.4198764171081,674.1177114294228,712.4198764171081,1536116
2000-05-23,658.7969360351562,697.099051419976,651.1364917498747,689.4386601554884,1298770
2000-05-24,651.1368408203125,674.1181329754919,635.8159970571337,674.1181329754919,2142012
2000-05-25,666.4573364257812,681.7782252061409,651.1365006662162,651.1365006662162,4223583
