Price,Close,High,Low,Open,Volume
Ticker,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA,ITUB4.SA
Date,,,,,
2000-12-21,1.1429415941238403,1.153744566757008,1.0868172568683245,1.0869449015334307,84096
2000-12-22,1.093400478363037,1.1314348172613071,1.086689020822167,1.1314348172613071,26412
2000-12-25,1.093400478363037,1.093400478363037,1.093400478363037,1.093400478363037,0
2000-12-26,1.0930811166763306,1.0943595439960168,1.0771000973290774,1.0873917553211798,8895
2000-12-27,1.1301559209823608,1.1301559209823608,1.093080910012296,1.1122574204667648,30586
2000-12-28,1.1825722455978394,1.2081413989078371,1.105800754849886,1.1237631721279004,87722
2000-12-29,1.1825722455978394,1.1825722455978394,1.1825722455978394,1.1825722455978394,0
2001-01-01,1.1825722455978394,1.1825722455978394,1.1825722455978394,1.1825722455978394,0
2001-01-02,1.1442185640335083,1.150546875683394,1.1218459388914326,1.121909761160103,53263221
2001-01-03,1.189029335975647,1.2145346891729112,1.137827058384575,1.1442191958326535,75980834
2001-01-04,1.2081420421600342,1.2145342817485998,1.1952934278460756,1.1952934278460756,93799106
2001-01-05,1.2144702672958374,1.2464954910232444,1.1761800323971028,1.1761800323971028,92416889
2001-01-08,1.1889656782150269,1.2145349637822915,1.1889656782150269,1.2017501645714084,36334494
2001-01-09,1.1940791606903076,1.2273191108497288,1.188965450554783,1.2017499344632223,137167849
2001-01-10,1.2049459218978882,1.2081424599366377,1.188901599380609,1.1947186061599853,124864756
2001-01-11,1.2081420421600342,1.2145342817485998,1.182572875236221,1.213830880939006,69781389
2001-01-12,1.1890928745269775,1.2081421591417218,1.1761803323954498,1.2081421591417218,56410842
2001-01-15,1.201749324798584,1.201749324798584,1.1761800570989192,1.1761800570989192,9018618
2001-01-16,1.2081420421600342,1.2145342817485998,1.195357250128577,1.2017494897171426,29615008
2001-01-17,1.2177302837371826,1.2273185379076685,1.1985532539723844,1.2081419252819314,60023764
2001-01-18,1.2592802047729492,1.2592802047729492,1.21773053848979,1.21773053848979,160501300
2001-01-19,1.2848492860794067,1.304026318535292,1.2528878781739377,1.2592162957558364,127492336
2001-01-22,1.240103006362915,1.284848771808107,1.231792868435264,1.284848771808107,44942553
2001-01-23,1.2286607027053833,1.2528875099366037,1.2286607027053833,1.2401031382444865,107840232
2001-01-24,1.1946543455123901,1.246495661935648,1.1946543455123901,1.246495661935648,81783404
2001-01-25,1.1946543455123901,1.1946543455123901,1.1946543455123901,1.1946543455123901,0
2001-01-26,1.2273184061050415,1.2401031955267043,1.195293183847559,1.195357006117032,118993759
2001-01-29,1.2081420421600342,1.2337108962295216,1.20494550522665,1.2337108962295216,88434464
2001-01-30,1.1889656782150269,1.2209271026756485,1.1889656782150269,1.2209271026756485,169998904
2001-01-31,1.1921613216400146,1.198553562254341,1.1761804072498228,1.1953574419471777,121019185
2001-02-01,1.1697872877120972,1.2062232163019233,1.1634588747095556,1.2062232163019233,66579026
2001-02-02,1.1761802434921265,1.1761802434921265,1.153807613026474,1.169788108052559,38332549
2001-02-05,1.1474149227142334,1.1697876486789318,1.144218386968225,1.1697876486789318,13548455
2001-02-06,1.1602001190185547,1.1602001190185547,1.1506118606544522,1.1570041024203945,40836961
2001-02-07,1.1378268003463745,1.156939907476249,1.1314345600631286,1.156939907476249,69617165
2001-02-08,1.1696609258651733,1.1857695946870195,1.1499725760351007,1.1499725760351007,61337553
2001-02-09,1.1506117582321167,1.1761805144502469,1.1506117582321167,1.1761805144502469,41493856
2001-02-12,1.153807520866394,1.1573233775756886,1.1506114012595108,1.1507391501017983,42588680
2001-02-13,1.1697872877120972,1.1697872877120972,1.1633950524704553,1.1633950524704553,144133671
2001-02-14,1.1857692003250122,1.2017496977783853,1.150611667931459,1.163396045037199,104350479
2001-02-15,1.1857692003250122,1.1953574570831187,1.1857692003250122,1.1889652163878521,39057871
2001-02-16,1.125362515449524,1.188966064894763,1.1116193341455753,1.188966064894763,68577082
2001-02-19,1.1186504364013672,1.1506118536048782,1.1186504364013672,1.1506118536048782,51771522
2001-02-20,1.099473476409912,1.1346310169723803,1.0675120569377017,1.121910459204548,76582987
2001-02-21,1.0868161916732788,1.1378264538253793,1.0802319651029904,1.1186498431005962,121279205
2001-02-22,1.1154532432556152,1.1154532432556152,1.0930806189217053,1.0930806189217053,155369309
2001-02-23,1.1378906965255737,1.1825730805442756,1.1122575985842882,1.1185859127042441,148403487
2001-02-26,1.1378906965255737,1.1378906965255737,1.1378906965255737,1.1378906965255737,0
2001-02-27,1.1378906965255737,1.1378906965255737,1.1378906965255737,1.1378906965255737,0
2001-02-28,1.0898853540420532,1.1346311591994025,1.0873282899936088,1.1346311591994025,87695458
2001-03-01,1.1219109296798706,1.1378276152126505,1.0962778150456856,1.0994739374762426,123400428
2001-03-02,1.1569401025772095,1.1570040291622137,1.112257713924962,1.1378269922241897,159064343
2001-03-05,1.1442185640335083,1.1697878297010023,1.131434191911643,1.1506112193758282,96549853
