Price,Close,High,Low,Open,Volume
Ticker,VIVT3.SA,VIVT3.SA,VIVT3.SA,VIVT3.SA,VIVT3.SA
Date,,,,,
2000-01-03,3.1159520149230957,3.2444850058226398,3.0770027137900042,3.2444850058226398,196
2000-01-04,3.031562089920044,3.0770031122149817,2.9536632299335284,2.9991042522284665,457
2000-01-05,3.0653200149536133,3.0770048629817652,2.8562913420431006,3.0770048629817652,240
2000-01-06,3.132830858230591,3.132830858230591,2.9991047052281643,3.0380540172876955,246
2000-01-07,3.1484129428863525,3.1484129428863525,3.064022542397614,3.115955077495771,533
2000-01-10,3.3431570529937744,3.343157052993775,3.226308894843049,3.2457835465958977,1123
2000-01-11,3.414564609527588,3.5184298443003645,3.3106996223884733,3.3756153012588355,654
2000-01-12,3.6352784633636475,3.6352784633636475,3.401582089772319,3.4535145897222037,850
2000-01-13,3.8313236236572266,4.154603693870482,3.7625129108293724,3.8949409630035765,346
2000-01-14,3.855990409851074,4.105266561060508,3.7910747480531346,4.105266561060508,754
2000-01-17,4.090987205505371,4.154604558085,3.897538460485586,4.024773165644844,657
2000-01-18,4.310402870178223,4.310402870178223,3.9598579674489134,4.08968937621773,953
2000-01-19,4.089688777923584,4.2454865447074965,4.050739460044468,4.219520167698937,748
2000-01-20,4.024771690368652,4.102670546805741,3.9468728339315637,4.089687362793953,458
2000-01-21,3.959855556488037,4.03775440384731,3.933889191490409,4.024771221348496,501
2000-01-24,3.962454080581665,4.050739465366289,3.8949416983776914,3.8949416983776914,88
2000-01-25,3.962454080581665,3.9624540805816655,3.9624540805816655,3.9624540805816655,0
2000-01-26,4.050738334655762,4.076704456816609,3.957259601502477,3.959856288008658,472
2000-01-27,4.154603004455566,4.174077904145861,4.089687332510948,4.089687332510948,552
2000-01-28,4.027369976043701,4.154604685092564,3.9572609031185704,4.154604685092564,406
2000-01-31,3.9468743801116943,3.9988068888696637,3.9209082495495773,3.9988068888696637,413
2000-02-01,4.057230472564697,4.153305660438987,3.9988062547062877,4.153305660438987,352
2000-02-02,4.141622066497803,4.3233859969846655,4.115655932218977,4.193554582689225,707
2000-02-03,4.323385238647461,4.399985779456464,4.154604528721635,4.154604528721635,818
2000-02-04,4.4012837409973145,4.544098053131641,4.4012837409973145,4.479182366658332,616
2000-02-07,4.4142656326293945,4.544096974765553,4.284434290493236,4.544096974765553,638
2000-02-08,4.583047389984131,4.583047389984131,4.492165329391664,4.54409807694947,419
2000-02-09,4.634977340698242,4.803757925514244,4.570061693056157,4.673926630230075,628
2000-02-10,4.7128801345825195,4.8037622216124785,4.634981485852573,4.8037622216124785,620
2000-02-11,4.6869120597839355,4.829726857877309,4.673929121442424,4.673929121442424,664
2000-02-14,4.740141868591309,4.816742376789843,4.673928105021097,4.673928105021097,640
2000-02-15,4.673928260803223,4.725860995141273,4.609012590514289,4.673928260803223,574
2000-02-16,4.584344863891602,4.673928311567089,4.414265627591139,4.5440969695791145,320
2000-02-17,4.609015941619873,4.615507414315109,4.544100224132269,4.544100224132269,350
2000-02-18,4.455813884735107,4.609014985858277,4.455813884735107,4.609014985858277,280
2000-02-21,4.518131256103516,4.544097627313057,4.349350586142498,4.414266266532684,253
2000-02-22,4.4155659675598145,4.557082222071206,4.349352167406557,4.479183575388841,176
2000-02-23,4.593434810638428,4.607716343072742,4.427250291264319,4.427250291264319,336
2000-02-24,4.609015941619873,4.73884737659508,4.557083169522742,4.673931659107477,689
2000-02-25,4.596031188964844,4.673929821211397,4.570064813126851,4.634980505088119,207
2000-02-28,4.492164611816406,4.607714931911227,4.466198737452661,4.479181674634534,625
2000-02-29,4.518131256103516,4.609013307703244,4.479181946922871,4.515534569455828,116
2000-03-01,4.596031188964844,4.764811889010659,4.5440984372888575,4.5440984372888575,370
2000-03-02,4.732354640960693,4.73884611192353,4.634981090715689,4.73884611192353,1202
2000-03-03,4.868678092956543,4.920610857388431,4.725863733670169,4.738846677144368,321
2000-03-06,4.868678092956543,4.868678092956543,4.868678092956543,4.868678092956543,0
2000-03-07,4.868678092956543,4.868678092956543,4.868678092956543,4.868678092956543,0
2000-03-08,4.609015941619873,4.73884737659508,4.502554204561612,4.609015941619873,17
2000-03-09,4.5440993309021,4.647964359412072,4.5440993309021,4.621997978467698,62
2000-03-10,4.446722984313965,4.54409648032084,4.440231516966949,4.54409648032084,179
2000-03-13,4.446722984313965,4.446722984313965,4.446722984313965,4.446722984313965,0
2000-03-14,4.28443717956543,4.346756206381542,4.28443717956543,4.28443717956543,141
2000-03-15,4.180570125579834,4.245485809221547,4.167586691691074,4.245485809221547,201
2000-03-16,4.206536293029785,4.270153382547736,4.102671055686057,4.206536293029785,369
2000-03-17,4.092283725738525,4.245484740177215,4.024771372319168,4.245484740177215,318
2000-03-20,4.154603004455566,4.284434348344803,4.154603004455566,4.154603004455566,269
2000-03-21,4.348052978515625,4.414266762028398,4.154604011320846,4.154604011320846,224
2000-03-22,4.309101104736328,4.3753153517860435,4.219517676967652,4.3753153517860435,220
2000-03-23,4.297418594360352,4.349351345850613,4.219519962392385,4.297418594360352,335
2000-03-24,4.310402870178223,4.375318574562631,4.258470108563688,4.310402870178223,255
2000-03-27,4.388298988342285,4.388298988342285,4.232501288552895,4.349349687211746,119
2000-03-28,4.154603004455566,4.284434348344803,4.102670516426599,4.232501612682199,209
2000-03-29,4.063722610473633,4.154604687056488,4.037756479759771,4.154604687056488,548
2000-03-30,4.024771690368652,4.03775487438044,3.83002467309275,4.011788506356864,184
2000-03-31,3.9468743801116943,4.050739645261368,3.896240215026891,4.024773267065516,217
2000-04-03,3.8040592670440674,3.8949413304753047,3.7651099527927947,3.8949413304753047,199
2000-04-04,3.70149302482605,3.830026073509122,3.505447592703264,3.76511037734795,369
2000-04-05,3.7001938819885254,3.765109564128675,3.5443961457986966,3.765109564128675,280
2000-04-06,3.791076421737671,3.9598571178721826,3.72616073128075,3.791076421737671,454
2000-04-07,3.959855556488037,3.9598555564880367,3.8300242267671174,3.8300242267671174,632
2000-04-10,3.8936426639556885,3.979331346306493,3.843008510103035,3.9598566907965247,472
2000-04-11,3.7534267902374268,3.8546953993384716,3.6508600846957666,3.8300273571919714,151
2000-04-12,3.7780933380126953,3.8819583465464524,3.7131776457706684,3.7651101500375472,481
2000-04-13,3.60931134223938,3.7521258732561122,3.6093113422393794,3.7521258732561122,177
2000-04-14,3.60931134223938,3.6093113422393794,3.6093113422393794,3.6093113422393794,0
2000-04-17,3.440531015396118,3.6872105481053334,3.2457839767887906,3.2457839767887906,538
2000-04-18,3.622293472290039,3.73524682010116,3.5041470008873463,3.6859107839965985,324
2000-04-19,3.713176965713501,3.7131769657135005,3.5054467390574375,3.5963287906049866,396
2000-04-20,3.6586480140686035,3.7651096969116113,3.571660987027712,3.711878855490107,284
2000-04-21,3.6586480140686035,3.6586480140686035,3.6586480140686035,3.6586480140686035,0
